"","employees","salaries_2017","salary_adjustments","salaries_2018","got_raise"
"42","Employee 42",45125.329149887,5004.57654125057,50129.9056911375,TRUE
"43","Employee 43",48944.9964696541,-1139.08646628261,47805.9100033715,FALSE
"44","Employee 44",44577.5033649988,4257.11528980173,48834.6186548006,TRUE
"45","Employee 45",44304.0469917469,-113.790818722919,44190.256173024,FALSE
"46","Employee 46",40058.1621588208,-2327.04527676105,37731.1168820597,FALSE
"47","Employee 47",43304.447743576,4628.72796575539,47933.1757093314,TRUE
"48","Employee 48",46858.0323341303,-1043.35459182039,45814.6777423099,FALSE
"49","Employee 49",40787.8843671642,-2122.95255973004,38664.9318074342,FALSE
"50","Employee 50",42840.4537122697,5099.27472099662,47939.7284332663,TRUE
"51","Employee 51",42778.7679899484,-3551.6059724614,39227.162017487,FALSE
"52","Employee 52",43952.6098757051,273.562669754028,44226.1725454591,TRUE
"53","Employee 53",43093.8067031093,42.4129841849208,43136.2196872942,TRUE
"54","Employee 54",40141.5695273317,-1937.68880679272,38203.880720539,FALSE
"55","Employee 55",46761.8670896627,346.443516900763,47108.3106065635,TRUE
"56","Employee 56",44802.5109991431,6555.98518205807,51358.4961812012,TRUE
"57","Employee 57",41324.2503954098,7563.28594521619,48887.536340626,TRUE
"58","Employee 58",45229.3182816356,9479.87922932953,54709.1975109652,TRUE
"59","Employee 59",42479.3507647701,-4888.59039382078,37590.7603709493,FALSE
"60","Employee 60",40162.6319694333,1933.18934296258,42095.8213123959,TRUE
"61","Employee 61",42328.2462893985,9227.40420443006,51555.6504938286,TRUE
"62","Employee 62",47439.2705294304,9921.29801539704,57360.5685448274,TRUE
"63","Employee 63",48697.9401111603,7557.35476035625,56255.2948715165,TRUE
"64","Employee 64",40975.2971236594,-4466.90626442432,36508.3908592351,FALSE
"65","Employee 65",43216.9609540142,-1702.50545954332,41514.4554944709,FALSE
"66","Employee 66",48810.8052196912,-3866.5585021954,44944.2467174958,FALSE
"67","Employee 67",45509.9687213078,1039.46737712249,46549.4360984303,TRUE
"68","Employee 68",42119.794418104,-1986.86924995854,40132.9251681454,FALSE
"69","Employee 69",42744.4969606586,8818.43474460766,51562.9317052662,TRUE
"70","Employee 70",47236.4749619737,-1161.96030983701,46074.5146521367,FALSE
"71","Employee 71",49368.9019884914,-3743.74336795881,45625.1586205326,FALSE
"72","Employee 72",46794.7070114315,6236.54335737228,53031.2503688037,TRUE
"73","Employee 73",46667.2396939248,-3287.29772241786,43379.9419715069,FALSE
"74","Employee 74",47273.0287606828,-4778.91861810349,42494.1101425793,FALSE
"75","Employee 75",43010.6321093626,-3692.04522110522,39318.5868882574,FALSE
"76","Employee 76",45307.8635595739,-2422.61872626841,42885.2448333055,FALSE
"77","Employee 77",47036.3187626936,-2430.64613081515,44605.6726318784,FALSE
"78","Employee 78",45068.6344015412,-2907.56981354207,42161.0645879991,FALSE
"79","Employee 79",40585.7467558235,7721.44139045849,48307.188146282,TRUE
"80","Employee 80",49235.4532377794,3492.53389984369,52727.9871376231,TRUE
"81","Employee 81",48411.6832865402,8080.73853957467,56492.4218261149,TRUE
"82","Employee 82",46219.0300528891,-4034.14612752385,42184.8839253653,FALSE
"83","Employee 83",49666.7597256601,1716.85924287885,51383.6189685389,TRUE
"84","Employee 84",44032.1793197654,7497.79702862725,51529.9763483927,TRUE
"85","Employee 85",45647.6442143321,2407.60157699697,48055.2457913291,TRUE
"86","Employee 86",45653.9512705058,6245.73422246613,51899.6854929719,TRUE
"87","Employee 87",44354.7529960051,6346.22627403587,50700.979270041,TRUE
"88","Employee 88",47832.8214515932,6827.72769127041,54660.5491428636,TRUE
"89","Employee 89",40439.454310108,1299.33661664836,41738.7909267563,TRUE
"90","Employee 90",40927.5543550029,8469.42057018168,49396.9749251846,TRUE
"91","Employee 91",48292.5513247028,5830.61190089211,54123.1632255949,TRUE
"92","Employee 92",49689.6541537717,-3961.18550561368,45728.468648158,FALSE
"93","Employee 93",41383.814367,7380.73353189975,48764.5478988998,TRUE
"94","Employee 94",43391.6791877709,-3815.10095437989,39576.578233391,FALSE
"95","Employee 95",45019.2055013031,2950.53319772705,47969.7386990301,TRUE
"96","Employee 96",47766.5506512858,-2015.09085251018,45751.4597987756,FALSE
"97","Employee 97",45661.6651080549,-4799.44802238606,40862.2170856688,FALSE
"98","Employee 98",49931.0282384977,-1765.06148185581,48165.9667566419,FALSE
"99","Employee 99",49687.7974807285,4705.08898259141,54392.8864633199,TRUE
"100","Employee 100",49262.6122874208,6134.41121182404,55397.0234992448,TRUE
